,name,distance,mass,radius
521,DENIS-P J020529.0−115925C,65,,
522,SDSS J020742.48+000056.2 [de],111,47,0.97
523,2MASS J02103857-3015313,101,15,1.53
524,2MASS J02340093-6442068,155,20,1.62
525,2MASS J02411151-0326587 [de],152,27,1.41
526,2MASS J02431371−2453298,35,33,0.99
527,LP 771-21,53,78,1.08
528,SDSS J000013.54+255418.6 [de],46.1,48,0.99
529,2MASS J08283419-1309198,,,
530,2MASS J00040288-6410358,192,19,1.63
531,LHS 102BC,,,
532,2MASS J00242463-0158201,37.7,79,1.09
533,2MASS J00250365+4759191AB,143,,
534,2MASS J00274197+0503417,236,31,1.44
535,2MASS J00275592+2219328,46.9,,
536,2MASSW J0030300-145033,87.2,54,0.98
537,2MASS J00332386-1521309 [de],131,29,1.43
538,2MASS J00345157+0523050,31,42,0.94
539,2MASS 0036+1821,28.6,42,0.94
540,2MASSW J0045214+163445,57,23,1.62
541,WISEP J004701.06+680352.1 [fr],40,12,1.3
542,2MASS J00501994-3322402 [de],34,40,0.94
543,2MASS J00034227-2822410,,,
544,2MASS J00584253-0651239 [de],96,29,1.43
545,CFBDS J005910.90–011401.3,30,23,
546,2MASSI J0103320+193536,70,52,0.98
547,SDSSp J010752.33+004156.1 [de],51,52,0.98
548,2MASSI J0117474-340325 [de],163,20,1.62
549,2MASS J01415823-4633574 [de],130,20,1.61
550,SDSS J015141.69+124429.6,70,47,0.97
551,DENIS-P J020529.0−115925A,65,,
552,DENIS-P J020529.0−115925B,65,,
553,DENIS-P J020529.0−115925C,65,,
554,SDSS J020742.48+000056.2 [de],111,47,0.97
555,2MASS J02103857-3015313,101,15,1.53
556,2MASS J02340093-6442068,155,20,1.62
557,2MASS J02411151-0326587 [de],152,27,1.41
558,2MASS J02431371−2453298,35,33,0.99
559,LP 771-21,53,78,1.08
560,2MASS J02511327+0047364,,,
561,SDSS J000013.54+255418.6 [de],46.1,48,0.99
562,2MASS J08283419-1309198,,,
563,2MASS J00040288-6410358,192,19,1.63
564,LHS 102BC,,,
565,2MASS J00242463-0158201,37.7,79,1.09
566,2MASS J00250365+4759191AB,143,,
567,2MASS J00274197+0503417,236,31,1.44
568,2MASS J00275592+2219328,46.9,,
569,2MASSW J0030300-145033,87.2,54,0.98
570,2MASS J00332386-1521309 [de],131,29,1.43
571,2MASS J00345157+0523050,31,42,0.94
572,2MASS 0036+1821,28.6,42,0.94
573,2MASSW J0045214+163445,57,23,1.62
574,WISEP J004701.06+680352.1 [fr],40,12,1.3
575,2MASS J00501994-3322402 [de],34,40,0.94
576,2MASS J00034227-2822410,,,
577,2MASS J00584253-0651239 [de],96,29,1.43
578,CFBDS J005910.90–011401.3,30,23,
579,2MASSI J0103320+193536,70,52,0.98
580,SDSSp J010752.33+004156.1 [de],51,52,0.98
581,2MASSI J0117474-340325 [de],163,20,1.62
582,2MASS J01415823-4633574 [de],130,20,1.61
583,SDSS J015141.69+124429.6,70,47,0.97
584,DENIS-P J020529.0−115925A,65,,
585,DENIS-P J020529.0−115925B,65,,
586,DENIS-P J020529.0−115925C,65,,
587,SDSS J020742.48+000056.2 [de],111,47,0.97
588,2MASS J02103857-3015313,101,15,1.53
589,2MASS J02340093-6442068,155,20,1.62
590,2MASS J02411151-0326587 [de],152,27,1.41
591,2MASS J02431371−2453298,35,33,0.99
592,LP 771-21,53,78,1.08
593,2MASS J02511327+0047364,,,
594,2MASS J02535980+3206373,184,65,1.9
595,SDSS J000013.54+255418.6 [de],46.1,48,0.99
596,2MASS J08283419-1309198,,,
597,2MASS J00040288-6410358,192,19,1.63
